"SHOP_ID","COUPON_ID","RARITY","LIMIT_DAYS","PROBABILITY","DESCRIPTION","COUPON_NAME"
"1","1","1","3","60","20%OFF","20%OFF"
"1","2","2","3","30","30%OFF","30%OFF"
"1","3","3","3","10","50%OFF","50%OFF"
"2","1","1","3","60","20%OFF","20%OFF"
"2","2","2","3","30","30%OFF","30%OFF"
"2","3","3","3","10","50%OFF","50%OFF"
"3","1","1","3","60","20%OFF","20%OFF"
"3","2","2","3","30","30%OFF","30%OFF"
"3","3","3","3","10","50%OFF","50%OFF"
"4","1","1","3","60","20%OFF","20%OFF"
"4","2","2","3","30","30%OFF","30%OFF"
"4","3","3","3","10","50%OFF","50%OFF"
